GRID_ID,color
DB-135,#BFBF00
DC-135,#BFBF00
DD-135,#BFBF00
DE-135,#BFBF00
DF-135,#BFBF00
DG-135,#C9D3FE
DH-135,#C9D3FE
DI-135,#FF7F7F
DJ-135,#C9D3FE
DM-135,#C9D3FE
DN-135,#C9D3FE
DO-135,#BFBF00
DP-135,#C9D3FE
DQ-135,#BFBF00
DR-135,#BFBF00
DS-135,#BFBF00
FA-135,#A3FF73
FB-135,#A3FF73
FC-135,#FF7F7F
FD-135,#C9D3FE
FE-135,#C9D3FE
FF-135,#FF7F7F
JZ-135,#C9D3FE
KA-135,#BFBF00
KB-135,#C9D3FE
KC-135,#A3FF73
KD-135,#BFBF00
KE-135,#C9D3FE
KF-135,#BFBF00
KG-135,#C9D3FE
OV-135,#BFBF00
OW-135,#BFBF00
OX-135,#BFBF00
OY-135,#BFBF00
OZ-135,#BFBF00
PD-135,#FF7F7F
CW-134,#A3FF73
CX-134,#C9D3FE
CY-134,#A3FF73
CZ-134,#A3FF73
DA-134,#C9D3FE
DB-134,#BFBF00
DC-134,#BFBF00
DD-134,#BFBF00
DE-134,#BFBF00
DF-134,#BFBF00
DG-134,#C9D3FE
DH-134,#BFBF00
DI-134,#C9D3FE
DJ-134,#A3FF73
DO-134,#BFBF00
DP-134,#C9D3FE
DQ-134,#BFBF00
DR-134,#BFBF00
